date,coil,target,thickness,width,speed,tension,gap_top,gap_bot,pressure_top,pressure_bot,angle_top,angle_bot,weight_top,weight_bot
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.293,10,10.25,0.23,0.225,-0.2,-0.6,101.8333333,93.86666667
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.297,9.6,10.25,0.242,0.246,-0.2,-0.6,93.83333333,94.5
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.296,9.6,10.3,0.227,0.249,-0.2,-0.6,93.86666667,92.26666667
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.3,9.5,10.25,0.238,0.226,-0.2,-0.6,97.16666667,95.03333333
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.299,9.55,10.3,0.243,0.238,-0.2,-0.6,95.83333333,95.9
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.307,9.65,10.25,0.237,0.231,-0.2,-0.6,93.7,96.46666667
2.01607E+13, CQG1345,93,0.615,1111.6,160,2.308,9.55,10.3,0.242,0.242,-0.2,-0.6,94.53333333,97.36666667
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.278,9.55,10.3,0.243,0.24,-0.2,-0.6,91.93333333,93.1
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.299,9.5,10.3,0.225,0.249,-0.2,-0.6,92.5,92.66666667
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.296,9.55,10.3,0.232,0.238,-0.2,-0.6,91.6,93.03333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.3,9.55,10.3,0.237,0.234,-0.2,-0.6,94.73333333,97.36666667
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.299,9.5,10.25,0.229,0.246,-0.2,-0.6,94.9,96.6
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.3,9.55,10.25,0.235,0.23,-0.2,-0.6,94.2,94.13333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.294,9.55,10.25,0.235,0.232,-0.2,-0.6,94.06666667,94.13333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.312,9.5,10.25,0.238,0.233,-0.2,-0.6,95.56666667,94.7
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.294,9.55,10.25,0.238,0.236,-0.2,-0.6,95,96
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.298,9.65,10.3,0.238,0.237,-0.2,-0.6,96.16666667,93.73333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.305,9.55,10.3,0.235,0.235,-0.2,-0.6,95.46666667,93.93333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.301,9.5,10.3,0.235,0.238,-0.2,-0.6,95.46666667,93.93333333
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.303,9.5,10.3,0.238,0.231,-0.2,-0.6,95.16666667,94.5
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.304,9.6,10.25,0.238,0.227,-0.2,-0.6,95.16666667,94.5
2.01607E+13, CQG1340,93,0.609,1130.6,160,2.302,9.5,10.25,0.238,0.235,-0.2,-0.6,95.56666667,96.13333333
